subset,feature,synthetic_median,cosim_median,median_ratio_syn_over_cosim,ks_D,ks_p
all,packet_count,2285.0,21.0,108.80952380952381,0.9864068957759154,0.0
all,byte_count,1385909.0,1596.0,868.3640350877193,0.9805258507227628,0.0
all,packets_per_second,83.7795,25.0,3.35118,0.7209506496428371,0.0
all,throughput_kbps,668.6524999999999,20.672,32.34580592105263,0.9585464761797626,0.0
all,latency_ms,53.9305,11.9767776,4.502922388740023,0.9594376624107093,0.0
all,jitter_ms,9.663499999999999,0.0173170436275941,558.0340506044319,0.8911518870577647,0.0
all,packet_loss_rate,0.01273,0.0,,0.9423602058608471,0.0
all,retransmission_rate,0.01142,0.0,,0.7207691489960065,0.0
all,connection_duration_sec,1786.5,81.0,22.055555555555557,0.7851593734180775,0.0
all,signal_quality_dbm,-75.26,-58.289580599034025,1.2911398439749147,0.4739139209179369,0.0
normal,packet_count,1776.0,21.0,84.57142857142857,0.9928264093435625,0.0
normal,byte_count,1067500.0,1596.0,668.859649122807,0.9909954158480682,0.0
normal,packets_per_second,66.6925,25.0,2.6677,0.6529447814763307,0.0
normal,throughput_kbps,643.061,23.104,27.833318905817176,0.9709816018430242,0.0
normal,latency_ms,44.922,11.0014432,4.083282455160064,0.9477413058035958,0.0
normal,jitter_ms,7.981,0.0173170436275941,460.87543414642425,0.8862206201664458,0.0
normal,packet_loss_rate,0.00869,0.0,,0.9463175552930656,0.0
normal,retransmission_rate,0.011375,0.0,,0.7353267107544833,0.0
normal,connection_duration_sec,1791.5,94.0,19.05851063829787,0.7619118089899614,0.0
normal,signal_quality_dbm,-75.26,-57.724190547950194,1.3037861472909387,0.4607286267014039,0.0
